month,year,ljo,chr,ker,kum,mlf,nzd,ptb,sam,spo,date
January,1990,356.9,353.7066667,361,354.504,353.6866667,350.6133333,360.79,352.3125,350.84,1/01/1990
February,1990,357.14,355.2725,NA,356.6025,355.0875,NA,361.12,351.75,350.415,1/02/1990
March,1990,358.062,355.565,NA,356.6075,355.865,350.88,361.6066667,352.896,350.63,1/03/1990
April,1990,357.81,355.0933333,351.21,358.534,356.75,350.655,361.6075,353.1525,350.865,1/04/1990
May,1990,359.0633333,355.988,351.82,358.67,357.55,NA,362.1275,352.47,351.35,1/05/1990
June,1990,356.01,358.385,352.65,356.2875,356.54,351.445,356.3925,353.2025,351.55,1/06/1990
July,1990,351.9725,365.3133333,NA,359,354.8133333,352.42,347.58,354.965,351.99,1/07/1990
August,1990,348.6333333,408.3675,352.15,354.2625,352.482,354.74,345.9925,353.242,352.51,1/08/1990
September,1990,350.06,358.345,352.92,350.2425,351.1025,352.915,347.945,353.3025,352.72,1/09/1990
October,1990,355.64,353.3575,352.5175,352.026,351.23,351.34,353.3625,352.8475,352.56,1/10/1990
November,1990,354.9875,353.58,352.71,354.4975,352.7525,352.6033333,357.5525,353.375,352.84,1/11/1990
December,1990,356.1,NA,352.925,355.126,354.7033333,352.03,360.468,353.79,352.6233333,1/12/1990
January,1991,NA,355.6416667,353.61,356.0925,354.595,351.98,361.37,354.614,NA,1/01/1991
February,1991,358.7,356.6233333,NA,356.9525,355.9525,351.8,363.8325,355,352.35,1/02/1991
March,1991,359.506,355.754,NA,358.1275,357.42,351.275,362.46,354.72,352.275,1/03/1991
April,1991,359.7966667,356.2833333,353.315,359.198,358.425,350.785,361.935,353.98,352.395,1/04/1991
May,1991,360.4825,NA,NA,360.17,359.054,353.3533333,362.136,353.965,352.495,1/05/1991
June,1991,357.32,356.245,352.78,358.96,358.145,356.5,358.655,354.1575,352.9,1/06/1991
July,1991,354.1466667,355.5175,353.73,356.116,355.4925,353.525,352.7,354.34,353.655,1/07/1991
August,1991,350.415,354.8375,353.6466667,353.0475,354.088,NA,347.4,354.1675,353.59,1/08/1991
September,1991,351.12,355.4775,353.62,351.452,351.9975,353.52,348.1075,353.91,354.04,1/09/1991
October,1991,354.545,354.95,NA,353.2325,352.2175,352.84,357.255,353.885,353.88,1/10/1991
November,1991,357.8,354.5733333,NA,355.9025,353.854,353.31,359.402,354.725,359.945,1/11/1991
December,1991,357.47,363.99,354.92,355.886,355.824,357.09,361.2825,355.05,353.805,1/12/1991
January,1992,359.1433333,356.93,354.17,357.2125,356.5575,352.2,362.045,354.5825,353.605,1/01/1992
February,1992,358.8033333,357.4666667,354.02,358.4425,356.9,352.73,363.415,354.9175,353.19,1/02/1992
March,1992,359.67,357.3425,NA,359.116,357.98,354.41,362.3466667,354.888,353.035,1/03/1992
April,1992,360.69,358.2425,354.02,360.1,359.08,353.4433333,363.055,354.855,353.185,1/04/1992
May,1992,360.91,358.09,354.255,360.1025,359.552,354.505,362.4,355.0225,353.69,1/05/1992
June,1992,358.7125,358.65,NA,358.744,359.405,354.95,360.475,355.326,353.935,1/06/1992
July,1992,352.8766667,356.93,354.905,355.96,356.322,356.0766667,353.05,355.6875,354.495,1/07/1992
August,1992,350.5533333,356.474,355.05,355.536,354.5525,355.2566667,348.6233333,355.626,354.86,1/08/1992
September,1992,350.38,354.8966667,354.995,352.3666667,353.6633333,355.96,347.605,355.2375,355.2,1/09/1992
October,1992,355.532,355.5425,NA,353.5825,353.18,354.79,353.418,355.645,355.36,1/10/1992
November,1992,NA,355.248,NA,356.682,354.7425,354.1933333,358.2975,355.1975,355.13,1/11/1992
December,1992,358.55,356.3275,355.26,357.8025,355.805,352.66,360.958,355.854,354.89,1/12/1992
January,1993,359.1433333,356.918,NA,359.005,356.845,353.15,362.92,355.415,354.76,1/01/1993
February,1993,359.8075,357.845,355.45,359.075,357.035,353.58,363.335,355.7975,354.545,1/02/1993
March,1993,360.16,357.414,354.98,358.98,358.445,355.34,363.596,356.315,354.235,1/03/1993
April,1993,361.3333333,360.2575,NA,360.255,359.292,354.43,363.4275,356.1575,354.39,1/04/1993
May,1993,361.984,359.018,354.595,361.46,360.555,355.09,363.72,355,354.46,1/05/1993
June,1993,359.8525,358.145,354.98,359.79,359.66,353.965,361.1075,356.0675,354.79,1/06/1993
July,1993,354.3385714,357.9075,355.34,356.7666667,357.452,355.875,351.118,356.1066667,355.145,1/07/1993
August,1993,350.935,357.844,356.65,353.704,355.6075,355.47,347.5775,356.5825,355.625,1/08/1993
September,1993,351,356.82,355.715,352.505,353.492,355.95,351.4466667,356.0825,356,1/09/1993
October,1993,355.3425,356.2475,356.43,354.4375,354.11,355.18,354.004,356.5033333,356.045,1/10/1993
November,1993,357.23,372.605,357.065,356.03,355.54,354.475,359.2125,356.68,355.99,1/11/1993
December,1993,359.93,358.435,356.75,358.4775,356.902,355.13,361.534,356.97,355.7,1/12/1993
January,1994,360.615,358.642,357.68,359.508,358.5475,355.585,362.18,357.3775,355.515,1/01/1994
February,1994,361.43,358.696,356.62,363.3525,359.085,355.13,364.3525,357.8325,355.485,1/02/1994
March,1994,362.1525,360.9633333,356.76,362.3125,359.585,356.09,365.2166667,357.295,355.5,1/03/1994
April,1994,362.98,360.8775,356.95,362.065,361.168,356,364.56,357.345,355.595,1/04/1994
May,1994,363.5,361.628,NA,363.442,361.59,357.13,364.4825,357.308,355.655,1/05/1994
June,1994,361.725,359.9975,356.49,361.1325,361.0775,356.09,363.2025,357.7933333,355.91,1/06/1994
July,1994,357.4575,359.92,356.79,358.4025,358.942,356.97,353.664,357.4666667,356.39,1/07/1994
August,1994,352.96,359.4575,357.16,356.544,357.185,357.36,348.0225,357.6125,357.015,1/08/1994
September,1994,352.275,358.435,357.63,355.085,355.152,357.6966667,352.945,357.8175,357.56,1/09/1994
October,1994,357.2033333,358.85,357.6466667,356.672,355.885,357.74,357.3375,357.83,357.505,1/10/1994
November,1994,359.2933333,NA,NA,359.12,357.374,NA,363.6875,358.44,357.71,1/11/1994
December,1994,362.33,NA,NA,363.8775,359.6366667,355.36,364.724,359.04,357.53,1/12/1994
January,1995,362.08,NA,358.31,360.868,360.13,358.075,365.4375,358.87,357.45,1/01/1995
February,1995,362.66,NA,NA,363.1425,360.72,356.29,367.468,359.71,357.36,1/02/1995
March,1995,363.545,361.48,NA,362.8225,362.042,363.7,366.7775,359.4625,357.345,1/03/1995
April,1995,364.7575,NA,NA,364.95,363.13,357.955,367.5375,358.83,357.58,1/04/1995
May,1995,364.18,NA,358.65,364.24,363.5366667,357.765,367.282,359.78,357.765,1/05/1995
June,1995,363.3975,NA,359.77,362.79,363.51,361.36,363.7125,359.51,357.885,1/06/1995
