day,pm25,pm10,so2,o3,no2,co
2020-01-07,19.6,7.7,2e-4,0.015,0.007,NA
2020-01-08,15.4,34.9,NA,NA,NA,NA
2020-01-10,15.1,69.9,8e-5,0.036,0.006,NA
2020-01-11,11.4,13.7,2.7e-4,0.016,0.002,0.01
2020-01-12,2.4,8.8,1e-4,0.016,0.001,0.05
2020-01-13,6.7,54.4,4.6e-4,0.018,0.01,0.49
2020-01-14,236,240.6,4.6e-4,0.046,0.03,NA
2020-01-15,141.6,192.9,8.5e-4,0.058,0.01,0.97
2020-01-16,21,10.9,NA,NA,NA,NA
2020-01-17,5.2,22.2,NA,NA,NA,NA
2020-01-18,3.2,21,2.4e-4,0.016,0.007,0.18
2020-01-19,12.7,31.1,NA,0.029,0.004,0.18
2020-01-20,6.9,15.5,NA,0.015,0.008,0.14
2020-01-21,8.5,21.9,3.7e-4,0.016,0.008,0.04
2020-01-22,3.9,24.4,2.9e-4,0.04,0.005,0.09
2020-01-23,3.1,10,3.1e-4,0.011,0.009,0.12
2020-01-24,5.8,21.6,NA,0.017,0.003,0.05
2020-01-25,3.9,10.9,NA,0.018,0.005,NA
2020-01-26,5.8,23.6,0.001,0.015,0.005,0.1
2020-01-27,3.2,14.2,NA,0.018,0.005,0.08
2020-01-28,5.7,25.3,4.8e-4,0.014,0.008,0.09
2020-01-29,4.6,20,3.1e-4,0.015,0.006,0.09
2020-01-30,0,30.7,NA,0.028,0.013,0.04
2020-01-31,5,44.9,NA,0.054,0.01,0.13
NA,23.579266917293232,36.555179584120985,4.4282467532467533e-4,0.024177142857142845,0.007717479674796747,0.175822454308094
2020-02-02,7.5,7.6,NA,0.019,0.002,0.01
2020-02-03,4,16.8,NA,0.016,0.003,0.04
2020-02-04,5.4,19.4,7e-5,0.015,0.003,0.04
2020-02-05,6.1,20.5,0.002,0.013,0.006,0.07
2020-02-06,12.5,38.8,0.001,0.013,0.013,0.19
2020-02-07,37.9,70.8,3.7e-4,0.006,0.021,0.26
2020-02-09,4.9,15.7,2.4e-4,0.02,0.002,0.12
2020-02-10,4.4,6.2,2.2e-4,0.01,0.005,0.13
2020-02-11,7,8.9,NA,NA,NA,NA
2020-02-12,4.1,16.6,3.8e-4,0.005,0.011,0.17
2020-02-13,0,5.9,4e-4,0.011,0.007,0.13
2020-02-14,6,19.8,3.4e-4,0.017,0.008,0.14
2020-02-15,2.5,5,2.8e-4,0.011,0.005,0.05
2020-02-16,0.72,4.9,1.2e-4,0.015,0.002,0.05
2020-02-17,6.1,15.9,1.6e-4,0.01,0.009,0.16
2020-02-18,5.6,26.6,7.9e-4,0.002,0.022,0.26
2020-02-19,4.1,13,5.5e-4,0.016,0.005,0.08
2020-02-20,7.4,16.4,5e-5,0.014,0.005,0.05
2020-02-21,4.9,4.4,4.1e-4,0.01,0.006,0.1
2020-02-22,0,11.3,8.3e-4,0.014,0.004,0.04
2020-02-23,0,21.3,7.1e-4,0.015,0.006,0.09
2020-02-24,11.1,16.8,6.5e-4,0.012,0.01,0.16
2020-02-25,7.9,21.2,4e-4,0.008,0.016,0.16
2020-02-26,3,16.9,3e-4,0.013,0.007,0.06
2020-02-27,4.6,19.2,3.2e-4,0.012,0.007,0.07
2020-02-28,5.2,7.4,0.001,0.011,0.008,0.08
2020-02-29,4.3,13.1,8.7e-4,0.008,0.009,0.07
NA,6.31668863261944,15.053476112026358,3.496030245746692e-4,0.0142390625,0.006775625000000004,0.09738515901060071
2020-03-02,NA,NA,1.7e-4,0.022,0.003,0
2020-03-03,2.5,6,8e-5,0.017,0.003,0.06
