station,suburb,fuel_type,price
7-Eleven Bathurst,Bathurst,P95,220.9
7-Eleven Bathurst,Bathurst,P98,229.9
7-Eleven Bathurst,Bathurst,U91,203.9
7-Eleven Baulkham Hills,BAULKHAM HILLS,E10,197.9
7-Eleven Baulkham Hills,BAULKHAM HILLS,P95,216.9
7-Eleven Baulkham Hills,BAULKHAM HILLS,P98,225.9
7-Eleven Baulkham Hills,BAULKHAM HILLS,U91,199.9
7-Eleven Belmont North,Belmont North,E10,199.9
7-Eleven Belmont North,Belmont North,P95,218.9
7-Eleven Belmont North,Belmont North,P98,227.9
7-Eleven Belmont North,Belmont North,U91,201.9
7-Eleven Belmore,Belmore,E10,194.9
7-Eleven Belmore,Belmore,P95,213.9
7-Eleven Belmore,Belmore,P98,222.9
7-Eleven Belmore,Belmore,U91,196.9
7-Eleven Berkeley,Berkeley,E10,194.9
7-Eleven Berkeley,Berkeley,P95,213.9
7-Eleven Berkeley,Berkeley,P98,222.9
7-Eleven Berkeley,Berkeley,U91,196.9
7-Eleven Berowra,Berowra,E10,193.9
7-Eleven Berowra,Berowra,P95,212.9
7-Eleven Berowra,Berowra,P98,221.9
7-Eleven Berowra,Berowra,U91,195.9
7-Eleven Bexley,Bexley,E10,189.9
7-Eleven Bexley,Bexley,P98,217.9
7-Eleven Bexley,Bexley,U91,191.9
7-Eleven Blacktown,Blacktown,E10,195.9
7-Eleven Blacktown,Blacktown,P95,214.9
7-Eleven Blacktown,Blacktown,P98,223.9
7-Eleven Blacktown,Blacktown,U91,197.9
7-Eleven Blacktown East,Blacktown East,E10,195.9
7-Eleven Blacktown East,Blacktown East,P98,223.9
7-Eleven Blacktown East,Blacktown East,U91,197.9
7-Eleven Blaxland,Blaxland,E10,194.9
7-Eleven Blaxland,Blaxland,P95,213.9
7-Eleven Blaxland,Blaxland,P98,222.9
7-Eleven Blaxland,Blaxland,U91,196.9
7-Eleven Bligh Park,Bligh Park,E10,194.9
7-Eleven Bligh Park,Bligh Park,P98,222.9
7-Eleven Bligh Park,Bligh Park,U91,196.9
7-Eleven Bonnyrigg,Bonnyrigg,E10,186.9
7-Eleven Bonnyrigg,Bonnyrigg,P98,214.9
7-Eleven Bonnyrigg,Bonnyrigg,U91,188.9
7-Eleven Bonnyrigg Heights,BONNYRIGG HEIGHTS,E10,187.9
7-Eleven Bonnyrigg Heights,BONNYRIGG HEIGHTS,P95,206.9
7-Eleven Bonnyrigg Heights,BONNYRIGG HEIGHTS,P98,215.9
7-Eleven Bonnyrigg Heights,BONNYRIGG HEIGHTS,U91,189.9
7-Eleven Braddon,BRADDON,E10,202.9
7-Eleven Braddon,BRADDON,P98,230.9
7-Eleven Braddon,BRADDON,U91,204.9
7-Eleven Bungarribee,Bungarribee,E10,195.9
7-Eleven Bungarribee,Bungarribee,P95,214.9
7-Eleven Bungarribee,Bungarribee,P98,223.9
7-Eleven Bungarribee,Bungarribee,U91,197.9
7-Eleven Burwood,Burwood,E10,197.9
7-Eleven Burwood,Burwood,P95,216.9
7-Eleven Burwood,Burwood,P98,225.9
7-Eleven Burwood,Burwood,U91,199.9
7-Eleven Campbelltown,Campbelltown,E10,193.9
7-Eleven Campbelltown,Campbelltown,P95,212.9
7-Eleven Campbelltown,Campbelltown,P98,221.9
7-Eleven Campbelltown,Campbelltown,U91,195.9
7-Eleven Camperdown,CAMPERDOWN,E10,192.9
7-Eleven Camperdown,CAMPERDOWN,P95,211.9
7-Eleven Camperdown,CAMPERDOWN,P98,220.9
7-Eleven Camperdown,CAMPERDOWN,U91,194.9
7-Eleven Caringbah,Caringbah,E10,186.9
7-Eleven Caringbah,Caringbah,P95,205.9
7-Eleven Caringbah,Caringbah,P98,214.9
7-Eleven Caringbah,Caringbah,U91,188.9
7-Eleven Carlingford,Carlingford,E10,187.9
7-Eleven Carlingford,Carlingford,P95,206.9
7-Eleven Carlingford,Carlingford,P98,215.9
7-Eleven Carlingford,Carlingford,U91,189.9
7-Eleven Carlton,Carlton,P98,221.9
7-Eleven Carlton,Carlton,U91,195.9
7-Eleven Casey,Casey,E10,202.9
7-Eleven Casey,Casey,P95,221.9
7-Eleven Casey,Casey,P98,230.9
7-Eleven Casey,Casey,U91,204.9
7-Eleven Castle Hill,Castle Hill,E10,194.9
7-Eleven Castle Hill,Castle Hill,P95,213.9
7-Eleven Castle Hill,Castle Hill,P98,222.9
7-Eleven Castle Hill,Castle Hill,U91,196.9
7-Eleven Casula,Casula,E10,191.9
7-Eleven Casula,Casula,P95,210.9
7-Eleven Casula,Casula,P98,219.9
7-Eleven Casula,Casula,U91,193.9
7-Eleven Cessnock,Cessnock,E10,199.9
7-Eleven Cessnock,Cessnock,P95,218.9
7-Eleven Cessnock,Cessnock,P98,227.9
7-Eleven Cessnock,Cessnock,U91,201.9
7-Eleven Charlestown,CHARLESTOWN,E10,197.9
7-Eleven Charlestown,CHARLESTOWN,P95,216.9
7-Eleven Charlestown,CHARLESTOWN,P98,225.9
7-Eleven Charlestown,CHARLESTOWN,U91,199.9
7-Eleven Colyton,Colyton,E10,187.5
7-Eleven Colyton,Colyton,P95,206.5
7-Eleven Colyton,Colyton,P98,215.5
7-Eleven Colyton,Colyton,U91,189.5
7-Eleven Corrimal,Corrimal,E10,197.9
7-Eleven Corrimal,Corrimal,P95,216.9
7-Eleven Corrimal,Corrimal,P98,225.9
7-Eleven Corrimal,Corrimal,U91,199.9
7-Eleven Cranebrook,Cranebrook,E10,194.9
7-Eleven Cranebrook,Cranebrook,P98,222.9
7-Eleven Cranebrook,Cranebrook,U91,196.9
7-Eleven Croydon Park,Croydon Park,E10,182.9
7-Eleven Croydon Park,Croydon Park,P95,201.9
7-Eleven Croydon Park,Croydon Park,P98,210.9
7-Eleven Croydon Park,Croydon Park,U91,184.9
7-Eleven Dapto,DAPTO,E10,195.9
7-Eleven Dapto,DAPTO,P95,214.9
7-Eleven Dapto,DAPTO,P98,223.9
7-Eleven Dapto,DAPTO,U91,197.9
7-Eleven Dee Why,Dee Why,E10,194.9
7-Eleven Dee Why,Dee Why,P95,213.9
7-Eleven Dee Why,Dee Why,P98,222.9
7-Eleven Dee Why,Dee Why,U91,196.9
7-Eleven Drummoyne,Drummoyne,E10,187.9
7-Eleven Drummoyne,Drummoyne,P98,215.9
7-Eleven Drummoyne,Drummoyne,U91,189.9
7-Eleven East Maitland,EAST MAITLAND,E10,187.9
7-Eleven East Maitland,EAST MAITLAND,P95,206.9
7-Eleven East Maitland,EAST MAITLAND,P98,215.9
7-Eleven East Maitland,EAST MAITLAND,U91,189.9
7-Eleven Eastern Creek,Eastern Creek,E10,195.9
7-Eleven Eastern Creek,Eastern Creek,P95,214.9
7-Eleven Eastern Creek,Eastern Creek,P98,223.9
7-Eleven Eastern Creek,Eastern Creek,U91,197.9
7-Eleven Edensor Park,Edensor Park,P95,209.9
7-Eleven Edensor Park,Edensor Park,P98,218.9
7-Eleven Edensor Park,Edensor Park,U91,192.9
7-Eleven Edgeworth,EDGEWORTH,E10,197.9
7-Eleven Edgeworth,EDGEWORTH,P95,216.9
7-Eleven Edgeworth,EDGEWORTH,P98,225.9
7-Eleven Edgeworth,EDGEWORTH,U91,199.9
7-Eleven Edmondson Park,EDMONDSON PARK,E10,191.9
7-Eleven Edmondson Park,EDMONDSON PARK,P95,210.9
7-Eleven Edmondson Park,EDMONDSON PARK,P98,219.9
7-Eleven Edmondson Park,EDMONDSON PARK,U91,193.9
7-Eleven Emerald Hills,LEPPINGTON,E10,195.9
7-Eleven Emerald Hills,LEPPINGTON,P95,214.9
7-Eleven Emerald Hills,LEPPINGTON,P98,223.9
7-Eleven Emerald Hills,LEPPINGTON,U91,197.9
7-Eleven Emerton,Emerton,E10,191.9
7-Eleven Emerton,Emerton,P95,210.9
7-Eleven Emerton,Emerton,P98,219.9
7-Eleven Emerton,Emerton,U91,193.9
7-Eleven Emu Plains,EMU HEIGHTS,E10,195.9
7-Eleven Emu Plains,EMU HEIGHTS,P95,214.9
7-Eleven Emu Plains,EMU HEIGHTS,P98,223.9
7-Eleven Emu Plains,EMU HEIGHTS,U91,197.9
7-Eleven Emu Plains,Emu Plains,E10,195.9
7-Eleven Emu Plains,Emu Plains,P98,223.9
7-Eleven Emu Plains,Emu Plains,U91,197.9
7-Eleven Enmore,Enmore,E10,192.9
7-Eleven Enmore,Enmore,P98,220.9
7-Eleven Enmore,Enmore,U91,194.9
7-Eleven Epping,Epping,E10,191.9
7-Eleven Epping,Epping,P98,219.7
7-Eleven Epping,Epping,U91,193.9
7-Eleven Erina,Erina,E10,196.9
7-Eleven Erina,Erina,P98,224.9
7-Eleven Erina,Erina,U91,198.9
7-Eleven Fairfield,FAIRFIELD WEST,E10,192.9
7-Eleven Fairfield,FAIRFIELD WEST,P95,211.9
7-Eleven Fairfield,FAIRFIELD WEST,P98,220.9
7-Eleven Fairfield,FAIRFIELD WEST,U91,194.9
7-Eleven Fairfield West,Fairfield West,E10,195.9
7-Eleven Fairfield West,Fairfield West,P98,223.9
7-Eleven Fairfield West,Fairfield West,U91,197.9
7-Eleven Five Dock,Five Dock,E10,194.9
7-Eleven Five Dock,Five Dock,P95,213.9
7-Eleven Five Dock,Five Dock,P98,222.9
7-Eleven Five Dock,Five Dock,U91,196.9
7-Eleven Fyshwick,Fyshwick,P98,224.9
7-Eleven Fyshwick,Fyshwick,U91,198.9
7-Eleven Gateshead,GATESHEAD,E10,199.9
7-Eleven Gateshead,GATESHEAD,P95,218.9
7-Eleven Gateshead,GATESHEAD,P98,227.9
7-Eleven Gateshead,GATESHEAD,U91,201.9
7-Eleven Georges Hall,GEORGES HALL,E10,191.9
7-Eleven Georges Hall,GEORGES HALL,P95,210.9
7-Eleven Georges Hall,GEORGES HALL,P98,219.9
7-Eleven Georges Hall,GEORGES HALL,U91,193.9
7-Eleven Giralang,Giralang,P98,231.9
7-Eleven Giralang,Giralang,U91,205.9
7-Eleven Glendale,CARDIFF,E10,199.9
7-Eleven Glendale,CARDIFF,P95,218.9
7-Eleven Glendale,CARDIFF,P98,227.9
7-Eleven Glendale,CARDIFF,U91,201.9
7-Eleven Googong,GOOGONG,E10,199.9
7-Eleven Googong,GOOGONG,P95,213.9
7-Eleven Googong,GOOGONG,P98,221.9
7-Eleven Googong,GOOGONG,U91,201.9
7-Eleven Gosford West,Gosford West,E10,195.9
7-Eleven Gosford West,Gosford West,P98,223.9
7-Eleven Gosford West,Gosford West,U91,197.9
7-Eleven Goulburn,Goulburn,E10,199.9
7-Eleven Goulburn,Goulburn,P95,218.9
7-Eleven Goulburn,Goulburn,P98,227.9
7-Eleven Goulburn,Goulburn,U91,201.9
7-Eleven Granville,Granville,E10,194.9
7-Eleven Granville,Granville,P98,222.9
7-Eleven Granville,Granville,U91,196.9
7-Eleven Granville East,Granville East,E10,194.9
7-Eleven Granville East,Granville East,P95,213.9
7-Eleven Granville East,Granville East,P98,222.9
7-Eleven Granville East,Granville East,U91,196.9
7-Eleven Green Point,Green Point,E10,198.9
7-Eleven Green Point,Green Point,P95,217.9
7-Eleven Green Point,Green Point,P98,226.9
7-Eleven Green Point,Green Point,U91,200.9
7-Eleven Green Valley,Green Valley,E10,187.9
7-Eleven Green Valley,Green Valley,P98,215.9
7-Eleven Green Valley,Green Valley,U91,189.9
7-Eleven Greenacre,GREENACRE,E10,187.9
7-Eleven Greenacre,GREENACRE,P95,206.9
7-Eleven Greenacre,GREENACRE,P98,215.9
7-Eleven Greenacre,GREENACRE,U91,189.9
7-Eleven Gregory Hills,Gregory Hills,E10,195.9
7-Eleven Gregory Hills,Gregory Hills,P95,214.9
7-Eleven Gregory Hills,Gregory Hills,P98,223.9
7-Eleven Gregory Hills,Gregory Hills,U91,197.9
7-Eleven Greystanes,GREYSTANES,E10,197.9
7-Eleven Greystanes,GREYSTANES,P95,216.9
7-Eleven Greystanes,GREYSTANES,P98,225.9
7-Eleven Greystanes,GREYSTANES,U91,199.9
7-Eleven Guildford,Guildford,E10,194.9
7-Eleven Guildford,Guildford,P95,213.9
7-Eleven Guildford,Guildford,P98,222.9
7-Eleven Guildford,Guildford,U91,196.9
7-Eleven Guildford West,Guildford West,E10,194.9
7-Eleven Guildford West,Guildford West,P95,213.9
7-Eleven Guildford West,Guildford West,P98,222.9
7-Eleven Guildford West,Guildford West,U91,196.9
7-Eleven Gymea,Gymea,E10,189.9
7-Eleven Gymea,Gymea,P98,217.9
7-Eleven Gymea,Gymea,U91,191.9
7-Eleven Haberfield,Haberfield,E10,195.9
7-Eleven Haberfield,Haberfield,P95,214.9
7-Eleven Haberfield,Haberfield,P98,223.9
7-Eleven Haberfield,Haberfield,U91,197.9
7-Eleven Hassall Grove,Hassall Grove,P98,219.9
7-Eleven Hassall Grove,Hassall Grove,U91,193.9
7-Eleven Heatherbrae,Heatherbrae,E10,189.9
7-Eleven Heatherbrae,Heatherbrae,P98,217.9
7-Eleven Heatherbrae,Heatherbrae,U91,191.9
7-Eleven Holt,Holt,E10,203.9
7-Eleven Holt,Holt,P98,231.9
7-Eleven Holt,Holt,U91,205.9
7-Eleven Huntlee,NORTH ROTHBURY,E10,187.9
7-Eleven Huntlee,NORTH ROTHBURY,P95,206.9
7-Eleven Huntlee,NORTH ROTHBURY,P98,215.9
7-Eleven Huntlee,NORTH ROTHBURY,U91,189.9
7-Eleven Hurlstone Park,Hurlstone Park,E10,195.9
7-Eleven Hurlstone Park,Hurlstone Park,P95,214.9
7-Eleven Ingleburn,INGLEBURN,E10,195.9
7-Eleven Ingleburn,INGLEBURN,P95,214.9
7-Eleven Ingleburn,INGLEBURN,P98,223.9
7-Eleven Ingleburn,INGLEBURN,U91,197.9
7-Eleven Ingleburn,Ingleburn,E10,195.9
7-Eleven Ingleburn,Ingleburn,P95,214.9
7-Eleven Ingleburn,Ingleburn,P98,223.9
7-Eleven Ingleburn,Ingleburn,U91,197.9
7-Eleven Jamisontown,Jamisontown,E10,190.9
7-Eleven Jamisontown,Jamisontown,P98,218.9
7-Eleven Jamisontown,Jamisontown,U91,192.9
7-Eleven Jerrabomberra,JERRABOMBERRA,E10,203.9
7-Eleven Jerrabomberra,JERRABOMBERRA,P95,222.9
7-Eleven Jerrabomberra,JERRABOMBERRA,P98,231.9
7-Eleven Jerrabomberra,JERRABOMBERRA,U91,205.9
7-Eleven Kanwal,KANWAL,E10,196.9
7-Eleven Kanwal,KANWAL,P95,215.9
7-Eleven Kanwal,KANWAL,P98,224.9
7-Eleven Kanwal,KANWAL,U91,198.9
7-Eleven Karabar,KARABAR,E10,199.9
7-Eleven Karabar,KARABAR,P95,220.9
7-Eleven Karabar,KARABAR,P98,229.9
7-Eleven Karabar,KARABAR,U91,203.9
7-Eleven Kellyville,Kellyville,E10,195.9
7-Eleven Kellyville,Kellyville,P95,214.9
7-Eleven Kellyville,Kellyville,P98,223.9
7-Eleven Kellyville,Kellyville,U91,197.9
7-Eleven Kelso,KELSO,E10,195.9
7-Eleven Kelso,KELSO,P95,214.9
7-Eleven Kelso,KELSO,P98,223.9
7-Eleven Kelso,KELSO,U91,197.9
7-Eleven Kensington,Kensington,E10,185.9
7-Eleven Kensington,Kensington,P95,205.9
7-Eleven Kensington,Kensington,P98,213.9
7-Eleven Kensington,Kensington,U91,187.9
7-Eleven Killara,Killara,E10,193.9
7-Eleven Killara,Killara,P95,212.9
7-Eleven Killara,Killara,P98,221.9
7-Eleven Killara,Killara,U91,195.9
7-Eleven Kincumber,Kincumber,E10,197.9
7-Eleven Kincumber,Kincumber,P95,216.9
7-Eleven Kincumber,Kincumber,P98,225.9
7-Eleven Kincumber,Kincumber,U91,199.9
7-Eleven Kings Park,Kings Park,E10,191.9
7-Eleven Kings Park,Kings Park,P95,210.9
7-Eleven Kings Park,Kings Park,P98,219.9
7-Eleven Kings Park,Kings Park,U91,193.9
7-Eleven Kingswood,KINGSWOOD,E10,194.9
7-Eleven Kingswood,KINGSWOOD,P95,213.9
7-Eleven Kingswood,KINGSWOOD,P98,222.9
7-Eleven Kingswood,KINGSWOOD,U91,196.9
7-Eleven Kirrawee,Kirrawee,E10,194.9
7-Eleven Kirrawee,Kirrawee,P95,213.9
7-Eleven Kirrawee,Kirrawee,P98,222.9
7-Eleven Kirrawee,Kirrawee,U91,196.9
7-Eleven Lake Illawarra,Lake Illawarra,E10,199.9
7-Eleven Lake Illawarra,Lake Illawarra,P95,218.9
7-Eleven Lake Illawarra,Lake Illawarra,P98,227.9
7-Eleven Lake Illawarra,Lake Illawarra,U91,201.9
7-Eleven Lakemba,Lakemba,E10,187.7
7-Eleven Lakemba,Lakemba,P95,206.7
7-Eleven Lakemba,Lakemba,P98,215.7
7-Eleven Lakemba,Lakemba,U91,189.7
7-Eleven Lambton,Lambton,E10,202.9
7-Eleven Lambton,Lambton,P95,221.9
7-Eleven Lambton,Lambton,P98,230.9
7-Eleven Lambton,Lambton,U91,204.9
7-Eleven Lansvale South,Lansvale South,E10,195.9
7-Eleven Lansvale South,Lansvale South,P95,214.9
7-Eleven Lansvale South,Lansvale South,P98,223.9
7-Eleven Lansvale South,Lansvale South,U91,197.9
7-Eleven Lavington,LAVINGTON,E10,177.9
7-Eleven Lavington,LAVINGTON,P95,196.9
7-Eleven Lavington,LAVINGTON,P98,205.9
7-Eleven Lavington,LAVINGTON,U91,179.9
7-Eleven Leppington,LEPPINGTON,E10,187.9
7-Eleven Leppington,LEPPINGTON,P95,206.9
7-Eleven Leppington,LEPPINGTON,P98,215.9
7-Eleven Leppington,LEPPINGTON,U91,189.9
7-Eleven Lindfield,Lindfield,E10,194.9
7-Eleven Lindfield,Lindfield,P98,222.9
7-Eleven Lindfield,Lindfield,U91,196.9
7-Eleven Lisarow,Lisarow,E10,199.9
7-Eleven Lisarow,Lisarow,P98,227.9
7-Eleven Lisarow,Lisarow,U91,201.9
7-Eleven Lismore,SOUTH LISMORE,E10,200.9
7-Eleven Lismore,SOUTH LISMORE,P95,219.9
7-Eleven Lismore,SOUTH LISMORE,P98,228.9
7-Eleven Lismore,SOUTH LISMORE,U91,202.9
7-Eleven Lithgow,LITHGOW,E10,202.9
7-Eleven Lithgow,LITHGOW,P95,221.9
7-Eleven Lithgow,LITHGOW,P98,230.9
7-Eleven Lithgow,LITHGOW,U91,204.9
7-Eleven Liverpool,Liverpool,E10,182.9
7-Eleven Liverpool,Liverpool,P98,210.9
7-Eleven Liverpool,Liverpool,U91,184.9
7-Eleven Long Jetty,LONG JETTY,E10,190.9
7-Eleven Long Jetty,LONG JETTY,P95,209.9
7-Eleven Long Jetty,LONG JETTY,P98,218.9
7-Eleven Long Jetty,LONG JETTY,U91,192.9
7-Eleven Lurnea,LURNEA,E10,190.9
7-Eleven Lurnea,LURNEA,P95,209.9
7-Eleven Lurnea,LURNEA,P98,218.9
7-Eleven Lurnea,LURNEA,U91,192.9
7-Eleven Marks Point,Marks Point,E10,196.9
7-Eleven Marks Point,Marks Point,P98,224.9
7-Eleven Marks Point,Marks Point,U91,198.9
7-Eleven Maroubra,Maroubra,E10,193.9
7-Eleven Maroubra,Maroubra,P95,212.9
7-Eleven Maroubra,Maroubra,P98,221.9
7-Eleven Maroubra,Maroubra,U91,195.9
7-Eleven Marsden Park,MARSDEN PARK,E10,191.9
7-Eleven Marsden Park,MARSDEN PARK,P95,210.9
7-Eleven Marsden Park,MARSDEN PARK,P98,219.9
7-Eleven Marsden Park,MARSDEN PARK,U91,193.9
7-Eleven Matraville,MATRAVILLE,E10,189.9
7-Eleven Matraville,MATRAVILLE,P95,208.9
7-Eleven Matraville,MATRAVILLE,P98,217.9
7-Eleven Matraville,MATRAVILLE,U91,191.9
7-Eleven Mawson,Mawson,E10,203.9
7-Eleven Mawson,Mawson,P98,231.9
7-Eleven Mawson,Mawson,U91,205.9
7-Eleven Mayfield West,Mayfield West,E10,193.9
7-Eleven Mayfield West,Mayfield West,P98,221.9
7-Eleven Mayfield West,Mayfield West,U91,195.9
7-Eleven McGraths Hill,MCGRATHS HILL,E10,187.9
7-Eleven McGraths Hill,MCGRATHS HILL,P98,215.9
7-Eleven McGraths Hill,MCGRATHS HILL,U91,189.9
7-Eleven Medowie,MEDOWIE,E10,189.9
7-Eleven Medowie,MEDOWIE,P95,209.9
7-Eleven Medowie,MEDOWIE,P98,218.9
7-Eleven Medowie,MEDOWIE,U91,190.9
7-Eleven Melba,Melba,E10,202.9
7-Eleven Melba,Melba,P98,230.9
7-Eleven Melba,Melba,U91,204.9
7-Eleven Menai,Menai,E10,193.7
7-Eleven Menai,Menai,P95,205.7
7-Eleven Menai,Menai,P98,219.7
7-Eleven Menai,Menai,U91,195.7
7-Eleven Merrylands,Merrylands,E10,193.9
7-Eleven Merrylands,Merrylands,P98,221.9
7-Eleven Merrylands,Merrylands,U91,195.9
7-Eleven Metford,Metford,E10,197.9
7-Eleven Metford,Metford,P95,216.9
7-Eleven Metford,Metford,P98,225.9
7-Eleven Metford,Metford,U91,199.9
7-Eleven Minchinbury,Minchinbury,E10,191.9
7-Eleven Minchinbury,Minchinbury,P95,210.9
7-Eleven Minchinbury,Minchinbury,P98,219.9
7-Eleven Minchinbury,Minchinbury,U91,193.9
7-Eleven Minto,MINTO,E10,195.9
7-Eleven Minto,MINTO,P95,214.9
7-Eleven Minto,MINTO,P98,223.9
7-Eleven Minto,MINTO,U91,197.9
7-Eleven Mona Vale,Mona Vale,E10,193.9
7-Eleven Mona Vale,Mona Vale,P95,212.9
7-Eleven Mona Vale,Mona Vale,P98,221.9
7-Eleven Mona Vale,Mona Vale,U91,195.9
7-Eleven Moorebank,MOOREBANK,E10,191.9
7-Eleven Moorebank,MOOREBANK,P98,219.9
7-Eleven Moorebank,MOOREBANK,U91,193.9
7-Eleven Morisset,MORISSET,E10,191.9
7-Eleven Morisset,MORISSET,P95,210.9
7-Eleven Morisset,MORISSET,P98,219.9
7-Eleven Morisset,MORISSET,U91,193.9
7-Eleven Mosman,Mosman,E10,193.9
7-Eleven Mosman,Mosman,P95,212.9
7-Eleven Mosman,Mosman,P98,221.9
7-Eleven Mosman,Mosman,U91,195.9
7-Eleven Mount Druitt,Mount Druitt,P98,223.9
7-Eleven Mount Druitt,Mount Druitt,U91,197.9
7-Eleven Mount Pritchard,Mount Pritchard,E10,195.9
7-Eleven Mount Pritchard,Mount Pritchard,P95,214.9
7-Eleven Mount Pritchard,Mount Pritchard,P98,223.9
7-Eleven Mount Pritchard,Mount Pritchard,U91,197.9
7-Eleven Muswellbrook,MUSWELLBROOK,E10,188.9
7-Eleven Muswellbrook,MUSWELLBROOK,P95,207.9
7-Eleven Muswellbrook,MUSWELLBROOK,P98,216.9
7-Eleven Muswellbrook,MUSWELLBROOK,U91,190.9
7-Eleven Narrabeen,Narrabeen,E10,194.9
7-Eleven Narrabeen,Narrabeen,P98,222.9
7-Eleven Narrabeen,Narrabeen,U91,196.9
7-Eleven New Lambton,New Lambton,E10,202.9
7-Eleven New Lambton,New Lambton,P95,221.9
7-Eleven New Lambton,New Lambton,P98,230.9
7-Eleven New Lambton,New Lambton,U91,204.9
7-Eleven Newport,NEWPORT,E10,195.9
7-Eleven Newport,NEWPORT,P98,223.9
7-Eleven Newport,NEWPORT,U91,197.9
7-Eleven North Rocks,North Rocks,E10,194.9
7-Eleven North Rocks,North Rocks,P95,213.9
7-Eleven North Rocks,North Rocks,P98,222.9
7-Eleven North Rocks,North Rocks,U91,196.9
7-Eleven North Ryde,North Ryde,E10,187.9
7-Eleven North Ryde,North Ryde,P98,215.9
7-Eleven North Ryde,North Ryde,U91,189.9
7-Eleven Northmead,Northmead,E10,194.9
7-Eleven Northmead,Northmead,P95,213.9
7-Eleven Northmead,Northmead,P98,222.9
7-Eleven Northmead,Northmead,U91,196.9
7-Eleven Nowra,NOWRA,E10,198.9
7-Eleven Nowra,NOWRA,P95,217.9
7-Eleven Nowra,NOWRA,P98,226.9
7-Eleven Nowra,NOWRA,U91,200.9
7-Eleven Orange,Orange,E10,201.9
7-Eleven Orange,Orange,P95,220.9
7-Eleven Orange,Orange,P98,229.9
7-Eleven Orange,Orange,U91,203.9
7-Eleven Orange North,ORANGE,E10,201.9
7-Eleven Orange North,ORANGE,P95,220.9
7-Eleven Orange North,ORANGE,P98,229.9
7-Eleven Orange North,ORANGE,U91,203.9
7-Eleven Paddington,PADDINGTON,E10,195.9
7-Eleven Paddington,PADDINGTON,P95,214.9
7-Eleven Paddington,PADDINGTON,P98,223.9
7-Eleven Paddington,PADDINGTON,U91,197.9
7-Eleven Pendle Hill,Pendle Hill,E10,197.9
7-Eleven Pendle Hill,Pendle Hill,P95,216.9
7-Eleven Pendle Hill,Pendle Hill,P98,225.9
7-Eleven Pendle Hill,Pendle Hill,U91,199.9
7-Eleven Penrith,PENRITH,E10,194.9
7-Eleven Penrith,PENRITH,P98,222.9
7-Eleven Penrith,PENRITH,U91,196.9
7-Eleven Penrith,Penrith,E10,194.9
7-Eleven Penrith,Penrith,P95,213.9
7-Eleven Penrith,Penrith,P98,222.9
7-Eleven Penrith,Penrith,U91,196.9
7-Eleven Penrith South,Penrith South,E10,194.9
7-Eleven Penrith South,Penrith South,P95,213.9
7-Eleven Penrith South,Penrith South,P98,222.9
7-Eleven Penrith South,Penrith South,U91,196.9
7-Eleven Penshurst,Penshurst,E10,193.9
7-Eleven Penshurst,Penshurst,P95,212.9
7-Eleven Penshurst,Penshurst,P98,221.9
