station,suburb,fuel_type,price
7 Express Carlton,Carlton,E10,181.9
7 Express Carlton,Carlton,P95,202.9
7 Express Carlton,Carlton,U91,184.9
7- Eleven Towradgi,TOWRADGI,E10,197.9
7- Eleven Towradgi,TOWRADGI,P95,216.9
7- Eleven Towradgi,TOWRADGI,P98,225.9
7- Eleven Towradgi,TOWRADGI,U91,199.9
7-Eleven Adamstown,Adamstown,E10,202.9
7-Eleven Adamstown,Adamstown,P95,221.9
7-Eleven Adamstown,Adamstown,P98,230.9
7-Eleven Adamstown,Adamstown,U91,204.9
7-Eleven Albion Park Rail,ALBION PARK RAIL,E10,196.9
7-Eleven Albion Park Rail,ALBION PARK RAIL,P95,215.9
7-Eleven Albion Park Rail,ALBION PARK RAIL,P98,224.9
7-Eleven Albion Park Rail,ALBION PARK RAIL,U91,198.9
7-Eleven Ambarvale,AMBARVALE,E10,194.9
7-Eleven Ambarvale,AMBARVALE,P95,213.9
7-Eleven Ambarvale,AMBARVALE,P98,222.9
7-Eleven Ambarvale,AMBARVALE,U91,196.9
7-Eleven Argenton,Argenton,E10,197.9
7-Eleven Argenton,Argenton,P95,216.9
7-Eleven Argenton,Argenton,P98,225.9
7-Eleven Argenton,Argenton,U91,199.9
7-Eleven Arncliffe,Arncliffe,E10,194.9
7-Eleven Arncliffe,Arncliffe,P98,222.9
7-Eleven Arncliffe,Arncliffe,U91,196.9
7-Eleven Arndell Park,Arndell Park,E10,194.9
7-Eleven Arndell Park,Arndell Park,P98,222.9
7-Eleven Arndell Park,Arndell Park,U91,196.9
7-Eleven Artarmon,Artarmon,E10,194.9
7-Eleven Artarmon,Artarmon,P95,213.9
7-Eleven Artarmon,Artarmon,P98,222.9
7-Eleven Artarmon,Artarmon,U91,196.9
7-Eleven Ashfield,ASHFIELD,E10,191.9
7-Eleven Ashfield,ASHFIELD,P98,219.9
7-Eleven Bankstown,Bankstown,E10,187.9
7-Eleven Bankstown,Bankstown,P95,206.9
7-Eleven Bankstown,Bankstown,P98,215.9
7-Eleven Bankstown,Bankstown,U91,189.9
7-Eleven Bankstown Airport,BANKSTOWN AERODROME,E10,191.9
7-Eleven Bankstown Airport,BANKSTOWN AERODROME,P95,210.9
7-Eleven Bankstown Airport,BANKSTOWN AERODROME,P98,219.9
7-Eleven Bankstown Airport,BANKSTOWN AERODROME,U91,193.9
7-Eleven Bathurst,Bathurst,E10,201.9
