NATIONAL GEOCHEMICAL SURVEY OF AUSTRALIA: THE MERCURY CONCENTRATIONS DATASET,,,,,,,,,,
CITE AS: Schneider; L.; Taylor; J.R.; Caritat; P. de 2025. National Geochemical Survey of Australia: The Mercury Concentrations Dataset. Geoscience Australia Dataset; Canberra. https://pid.geoscience.gov.au/dataset/ga/150328,,,,,,,,,,
NOTES: NGSA SITEIDs were numbered from 2007190001 to 2007191600 then randomly allocated to individual States or the Northern Territory. As some SITEIDs were reserved for insertion of QA/QC samples and only 86% of targeted sites were sampled gaps occur in the list of SITEIDs (e.g. no data for SITEID = 2007190006),,,,,,,,,,
Geochemical data consist of total Hg concentrations. For more Methods details see Schneider et al. (2026) @ https://doi.org/10.1021/acs.est.5c11189,,,,,,,,,,
Extraction: Total Hg measured by direct analysis (no digestion) on approximately 100 mg of sample,,,,,,,,,,
Analysis: Milestone tri-cell direct mercury analyser (tri-cell DMA-80) reported in ng/g (= parts per billion; ppb) on dry weight basis with a Limit of Detection of 0.01 ng Hg,,,,,,,,,,
Additional geochemical data from the National Geochemical Survey of Australia available from http://dx.doi.org/10.11636/Record.2011.020; additional field site information available from http://pid.geoscience.gov.au/dataset/ga/70478,,,,,,,,,,
© Commonwealth of Australia (Geoscience Australia) 2025. This material is released under the Creative Commons Attribution 4.0 Australia Licence http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,
,,,,,,,,,,
Last Updated: 31 March 2025,,,,,,,,,,
,,,,,,,,,,
SITEID,DATE_SAMPLED,LATITUDE_GDA94,LONGITUDE_GDA94,STATE,DUPLICATE_CODE,DUPLICATE_SITEID,SAMPLEID,GRAIN_SIZE,DEPTH,Hg_DMA_ng/g_0.01
2007190066,6/09/2008,-20.3197,119.2589,WA, ,,2007190066001 Fine,<75 µm,TOS,16.95
2007190066,6/09/2008,-20.3197,119.2589,WA, ,,2007190066002 Fine,<75 µm,BOS,14.98
2007190067,12/09/2007,-31.2341,121.962,WA,Duplicate 1,2007191121,2007190067001 Fine,<75 µm,TOS,13.82
2007190067,12/09/2007,-31.2341,121.962,WA,Duplicate 1,2007191121,2007190067002 Fine,<75 µm,BOS,18.45
2007190068,9/04/2007,-33.4863,148.2703,NSW, ,,2007190068001 Fine,<75 µm,TOS,16.04
2007190068,9/04/2007,-33.4863,148.2703,NSW, ,,2007190068002 Fine,<75 µm,BOS,26.65
2007190069,16/10/2007,-21.444,145.8212,QLD, ,,2007190069001 Fine,<75 µm,TOS,16.2
2007190069,16/10/2007,-21.444,145.8212,QLD, ,,2007190069002 Fine,<75 µm,BOS,19.65
2007190070,8/09/2009,-26.7597,137.5204,SA, ,,2007190070001 Fine,<75 µm,TOS,2.45
2007190070,8/09/2009,-26.7597,137.5204,SA, ,,2007190070002 Fine,<75 µm,BOS,1.31
2007190071,12/04/2007,-32.0515,118.1664,WA,Duplicate 1,2007190289,2007190071001 Fine,<75 µm,TOS,8.1
2007190071,12/04/2007,-32.0515,118.1664,WA,Duplicate 1,2007190289,2007190071002 Fine,<75 µm,BOS,15.08
2007190072,9/08/2009,-27.7109,137.6583,SA, ,,2007190072001 Fine,<75 µm,TOS,6.67
2007190072,9/08/2009,-27.7109,137.6583,SA, ,,2007190072002 Fine,<75 µm,BOS,5.7
2007190073,12/11/2007,-32.5727,118.4508,WA, ,,2007190073001 Fine,<75 µm,TOS,18.78
2007190073,12/11/2007,-32.5727,118.4508,WA, ,,2007190073002 Fine,<75 µm,BOS,13.73
2007190074,9/12/2009,-26.7486,134.4646,SA,Duplicate 1,2007190389,2007190074001 Fine,<75 µm,TOS,14.22
2007190074,9/12/2009,-26.7486,134.4646,SA,Duplicate 1,2007190389,2007190074002 Fine,<75 µm,BOS,11.69
2007190075,5/09/2008,-23.7772,117.8137,WA, ,,2007190075001 Fine,<75 µm,TOS,9.85
2007190075,5/09/2008,-23.7772,117.8137,WA, ,,2007190075002 Fine,<75 µm,BOS,11.08
2007190076,5/06/2008,-21.771,115.4063,WA, ,,2007190076001 Fine,<75 µm,TOS,20.95
2007190076,5/06/2008,-21.771,115.4063,WA, ,,2007190076002 Fine,<75 µm,BOS,5.45
2007190077,5/12/2008,-29.7312,149.3184,NSW, ,,2007190077001 Fine,<75 µm,TOS,11.38
2007190077,5/12/2008,-29.7312,149.3184,NSW, ,,2007190077002 Fine,<75 µm,BOS,8.35
2007190078,24/01/2008,-33.5409,144.3757,NSW, ,,2007190078001 Fine,<75 µm,TOS,12.49
2007190078,24/01/2008,-33.5409,144.3757,NSW, ,,2007190078002 Fine,<75 µm,BOS,10.46
2007190079,24/05/2008,-24.504,139.5956,QLD, ,,2007190079001 Fine,<75 µm,TOS,10.98
2007190079,24/05/2008,-24.504,139.5956,QLD, ,,2007190079002 Fine,<75 µm,BOS,8.53
2007190081,26/05/2008,-21.1095,134.4924,NT, ,,2007190081001 Fine,<75 µm,TOS,17.13
2007190081,26/05/2008,-21.1095,134.4924,NT, ,,2007190081002 Fine,<75 µm,BOS,16.36
2007190082,18/06/2009,-31.4679,129.313,SA, ,,2007190082001 Fine,<75 µm,TOS,16.77
2007190082,18/06/2009,-31.4679,129.313,SA, ,,2007190082002 Fine,<75 µm,BOS,10.32
2007190083,14/04/2008,-30.2768,147.5613,NSW, ,,2007190083001 Fine,<75 µm,TOS,12.86
2007190083,14/04/2008,-30.2768,147.5613,NSW, ,,2007190083002 Fine,<75 µm,BOS,7.73
2007190084,5/11/2008,-23.9438,137.2762,NT, ,,2007190084001 Fine,<75 µm,TOS,4.34
2007190084,5/11/2008,-23.9438,137.2762,NT, ,,2007190084002 Fine,<75 µm,BOS,5.73
2007190086,14/01/2008,-32.7609,115.906,WA, ,,2007190086001 Fine,<75 µm,TOS,35.48
2007190086,14/01/2008,-32.7609,115.906,WA, ,,2007190086002 Fine,<75 µm,BOS,30.08
2007190087,8/08/2007,-20.5724,148.6051,QLD, ,,2007190087001 Fine,<75 µm,TOS,20.28
2007190087,8/08/2007,-20.5724,148.6051,QLD, ,,2007190087002 Fine,<75 µm,BOS,13.94
2007190089,18/10/2007,-22.422,148.6949,QLD, ,,2007190089001 Fine,<75 µm,TOS,19.42
2007190089,18/10/2007,-22.422,148.6949,QLD, ,,2007190089002 Fine,<75 µm,BOS,14.19
2007190090,18/10/2007,-35.4773,141.9897,VIC, ,,2007190090001 Fine,<75 µm,TOS,33.99
2007190090,18/10/2007,-35.4773,141.9897,VIC, ,,2007190090002 Fine,<75 µm,BOS,12.26
2007190091,20/05/2008,-25.8903,147.8174,QLD,Duplicate 1,2007191053,2007190091001 Fine,<75 µm,TOS,13.55
2007190091,20/05/2008,-25.8903,147.8174,QLD,Duplicate 1,2007191053,2007190091002 Fine,<75 µm,BOS,12.78
2007190092,25/07/2007,-25.6875,150.9716,QLD, ,,2007190092001 Fine,<75 µm,TOS,24.79
2007190092,25/07/2007,-25.6875,150.9716,QLD, ,,2007190092002 Fine,<75 µm,BOS,19.38
2007190093,17/10/2007,-35.3891,143.072,VIC, ,,2007190093001 Fine,<75 µm,TOS,24.9
2007190093,17/10/2007,-35.3891,143.072,VIC, ,,2007190093002 Fine,<75 µm,BOS,17.26
2007190094,5/07/2008,-25.7027,135.7782,NT, ,,2007190094001 Fine,<75 µm,TOS,5.62
2007190094,5/07/2008,-25.7027,135.7782,NT, ,,2007190094002 Fine,<75 µm,BOS,8.54
2007190095,9/07/2009,-28.8014,133.5324,SA, ,,2007190095001 Fine,<75 µm,TOS,39.38
2007190095,9/07/2009,-28.8014,133.5324,SA, ,,2007190095002 Fine,<75 µm,BOS,47.54
2007190096,24/05/2008,-17.0445,134.0173,NT, ,,2007190096001 Fine,<75 µm,TOS,9.39
2007190096,24/05/2008,-17.0445,134.0173,NT, ,,2007190096002 Fine,<75 µm,BOS,6.28
2007190097,28/03/2008,-28.7457,124.032,WA, ,,2007190097002 Fine,<75 µm,BOS,57.44
2007190098,8/11/2008,-27.6871,136.8315,SA, ,,2007190098001 Fine,<75 µm,TOS,4.45
2007190098,8/11/2008,-27.6871,136.8315,SA, ,,2007190098002 Fine,<75 µm,BOS,2.82
2007190099,21/09/2007,-12.7712,130.7451,NT, ,,2007190099001 Fine,<75 µm,TOS,32.99
2007190099,21/09/2007,-12.7712,130.7451,NT, ,,2007190099002 Fine,<75 µm,BOS,22.39
2007190101,7/06/2007,-31.6287,115.7298,WA, ,,2007190101001 Fine,<75 µm,TOS,84.7
2007190103,22/09/2007,-17.8568,141.1343,QLD, ,,2007190103002 Fine,<75 µm,BOS,16.32
2007190104,21/06/2009,-31.2069,131.45,SA, ,,2007190104001 Fine,<75 µm,TOS,53.23
2007190104,21/06/2009,-31.2069,131.45,SA, ,,2007190104002 Fine,<75 µm,BOS,41.01
2007190105,11/01/2007,-27.6357,148.7402,QLD, ,,2007190105001 Fine,<75 µm,TOS,40.94
2007190105,11/01/2007,-27.6357,148.7402,QLD, ,,2007190105002 Fine,<75 µm,BOS,7.26
2007190106,31/03/2008,-31.4903,142.1858,NSW, ,,2007190106001 Fine,<75 µm,TOS,21.61
2007190106,31/03/2008,-31.4903,142.1858,NSW, ,,2007190106002 Fine,<75 µm,BOS,40.97
2007190107,11/05/2009,-30.6934,134.2807,SA,Duplicate 1,2007190913,2007190107001 Fine,<75 µm,TOS,19.27
2007190107,11/05/2009,-30.6934,134.2807,SA,Duplicate 1,2007190913,2007190107002 Fine,<75 µm,BOS,16.32
2007190108,6/08/2008,-28.6863,143.2471,QLD, ,,2007190108001 Fine,<75 µm,TOS,7.85
2007190108,6/08/2008,-28.6863,143.2471,QLD, ,,2007190108002 Fine,<75 µm,BOS,9.29
2007190110,4/02/2008,-37.7193,148.4774,VIC,Duplicate 1,2007191182,2007190110001 Fine,<75 µm,TOS,33.65
2007190110,4/02/2008,-37.7193,148.4774,VIC,Duplicate 1,2007191182,2007190110002 Fine,<75 µm,BOS,29.12
2007190111,6/05/2008,-26.9226,142.0858,QLD, ,,2007190111001 Fine,<75 µm,TOS,18.27
2007190111,6/05/2008,-26.9226,142.0858,QLD, ,,2007190111002 Fine,<75 µm,BOS,7.75
2007190112,3/11/2008,-33.1477,149.5039,NSW, ,,2007190112002 Fine,<75 µm,BOS,40.37
2007190113,10/07/2007,-19.8141,146.0284,QLD, ,,2007190113001 Fine,<75 µm,TOS,12.23
2007190113,10/07/2007,-19.8141,146.0284,QLD, ,,2007190113002 Fine,<75 µm,BOS,21.27
2007190114,24/07/2007,-25.6866,151.7798,QLD,Duplicate 1,2007191045,2007190114001 Fine,<75 µm,TOS,23.88
2007190114,24/07/2007,-25.6866,151.7798,QLD,Duplicate 1,2007191045,2007190114002 Fine,<75 µm,BOS,18
2007190115,18/05/2009,-31.7149,138.2156,SA, ,,2007190115001 Fine,<75 µm,TOS,46.97
2007190115,18/05/2009,-31.7149,138.2156,SA, ,,2007190115002 Fine,<75 µm,BOS,26.36
2007190116,17/07/2008,-16.2696,137.088,NT, ,,2007190116002 Fine,<75 µm,BOS,22.32
2007190117,4/05/2008,-23.6609,139.8748,QLD, ,,2007190117001 Fine,<75 µm,TOS,7.52
2007190117,4/05/2008,-23.6609,139.8748,QLD, ,,2007190117002 Fine,<75 µm,BOS,7.68
2007190118,19/09/2007,-12.9586,132.383,NT,Duplicate 1,2007191552,2007190118001 Fine,<75 µm,TOS,17.16
2007190118,19/09/2007,-12.9586,132.383,NT,Duplicate 1,2007191552,2007190118002 Fine,<75 µm,BOS,11.74
2007190119,25/07/2008,-20.5315,131.0648,NT, ,,2007190119001 Fine,<75 µm,TOS,10.59
2007190119,25/07/2008,-20.5315,131.0648,NT, ,,2007190119002 Fine,<75 µm,BOS,6.4
2007190121,9/06/2009,-29.0518,133.2902,SA,Duplicate 1,2007191545,2007190121001 Fine,<75 µm,TOS,26.76
2007190121,9/06/2009,-29.0518,133.2902,SA,Duplicate 1,2007191545,2007190121002 Fine,<75 µm,BOS,45.62
2007190122,24/01/2008,-33.075,145.5889,NSW, ,,2007190122001 Fine,<75 µm,TOS,31.19
2007190122,24/01/2008,-33.075,145.5889,NSW, ,,2007190122002 Fine,<75 µm,BOS,28.2
2007190123,30/07/2008,-21.2931,132.7696,NT, ,,2007190123002 Fine,<75 µm,BOS,21.24
2007190124,17/04/2008,-37.1744,145.5691,VIC, ,,2007190124001 Fine,<75 µm,TOS,74.16
2007190124,17/04/2008,-37.1744,145.5691,VIC, ,,2007190124002 Fine,<75 µm,BOS,35.81
2007190125,18/09/2007,-20.4808,140.5896,QLD,Duplicate 1,2007191532,2007190125001 Fine,<75 µm,TOS,11.49
2007190125,18/09/2007,-20.4808,140.5896,QLD,Duplicate 1,2007191532,2007190125002 Fine,<75 µm,BOS,5.78
2007190126,16/10/2007,-25.6463,149.7918,QLD, ,,2007190126001 Fine,<75 µm,TOS,35.86
2007190126,16/10/2007,-25.6463,149.7918,QLD, ,,2007190126002 Fine,<75 µm,BOS,24.94
2007190127,14/05/2008,-36.2785,140.8132,SA, ,,2007190127001 Fine,<75 µm,TOS,15.72
2007190127,14/05/2008,-36.2785,140.8132,SA, ,,2007190127002 Fine,<75 µm,BOS,9.82
2007190128,4/03/2008,-32.5397,144.7951,NSW, ,,2007190128001 Fine,<75 µm,TOS,23.64
2007190128,4/03/2008,-32.5397,144.7951,NSW, ,,2007190128002 Fine,<75 µm,BOS,23.69
2007190129,26/01/2008,-31.8137,126.5585,WA, ,,2007190129001 Fine,<75 µm,TOS,28.9
2007190129,26/01/2008,-31.8137,126.5585,WA, ,,2007190129002 Fine,<75 µm,BOS,13.64
2007190130,26/03/2008,-28.875,122.1138,WA, ,,2007190130001 Fine,<75 µm,TOS,14.05
2007190130,26/03/2008,-28.875,122.1138,WA, ,,2007190130002 Fine,<75 µm,BOS,3.8
2007190131,5/02/2009,-32.669,134.3047,SA, ,,2007190131001 Fine,<75 µm,TOS,29.03
2007190131,5/02/2009,-32.669,134.3047,SA, ,,2007190131002 Fine,<75 µm,BOS,33.77
2007190132,5/10/2008,-24.9854,137.6081,NT, ,,2007190132001 Fine,<75 µm,TOS,8.11
2007190132,5/10/2008,-24.9854,137.6081,NT, ,,2007190132002 Fine,<75 µm,BOS,6.63
2007190134,21/05/2009,-30.1662,137.7499,SA, ,,2007190134001 Fine,<75 µm,TOS,19.98
2007190134,21/05/2009,-30.1662,137.7499,SA, ,,2007190134002 Fine,<75 µm,BOS,27.68
2007190135,5/08/2008,-22.1038,118.284,WA, ,,2007190135001 Fine,<75 µm,TOS,27.8
2007190135,5/08/2008,-22.1038,118.284,WA, ,,2007190135002 Fine,<75 µm,BOS,15.76
2007190136,2/07/2008,-41.504,147.0589,TAS, ,,2007190136001 Fine,<75 µm,TOS,38.76
2007190136,2/07/2008,-41.504,147.0589,TAS, ,,2007190136002 Fine,<75 µm,BOS,45.11
2007190137,29/07/2008,-20.1402,132.3594,NT, ,,2007190137001 Fine,<75 µm,TOS,22.16
2007190137,29/07/2008,-20.1402,132.3594,NT, ,,2007190137002 Fine,<75 µm,BOS,26.13
2007190138,10/11/2007,-21.0016,146.4245,QLD, ,,2007190138001 Fine,<75 µm,TOS,10.46
2007190138,10/11/2007,-21.0016,146.4245,QLD, ,,2007190138002 Fine,<75 µm,BOS,5.8
