NATIONAL GEOCHEMICAL SURVEY OF AUSTRALIA: THE MERCURY CONCENTRATIONS DATASET,,,,,,,,,,
CITE AS: Schneider; L.; Taylor; J.R.; Caritat; P. de 2025. National Geochemical Survey of Australia: The Mercury Concentrations Dataset. Geoscience Australia Dataset; Canberra. https://pid.geoscience.gov.au/dataset/ga/150328,,,,,,,,,,
NOTES: NGSA SITEIDs were numbered from 2007190001 to 2007191600 then randomly allocated to individual States or the Northern Territory. As some SITEIDs were reserved for insertion of QA/QC samples and only 86% of targeted sites were sampled gaps occur in the list of SITEIDs (e.g. no data for SITEID = 2007190006),,,,,,,,,,
Geochemical data consist of total Hg concentrations. For more Methods details see Schneider et al. (2026) @ https://doi.org/10.1021/acs.est.5c11189,,,,,,,,,,
Extraction: Total Hg measured by direct analysis (no digestion) on approximately 100 mg of sample,,,,,,,,,,
Analysis: Milestone tri-cell direct mercury analyser (tri-cell DMA-80) reported in ng/g (= parts per billion; ppb) on dry weight basis with a Limit of Detection of 0.01 ng Hg,,,,,,,,,,
Additional geochemical data from the National Geochemical Survey of Australia available from http://dx.doi.org/10.11636/Record.2011.020; additional field site information available from http://pid.geoscience.gov.au/dataset/ga/70478,,,,,,,,,,
© Commonwealth of Australia (Geoscience Australia) 2025. This material is released under the Creative Commons Attribution 4.0 Australia Licence http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,
,,,,,,,,,,
Last Updated: 31 March 2025,,,,,,,,,,
,,,,,,,,,,
SITEID,DATE_SAMPLED,LATITUDE_GDA94,LONGITUDE_GDA94,STATE,DUPLICATE_CODE,DUPLICATE_SITEID,SAMPLEID,GRAIN_SIZE,DEPTH,Hg_DMA_ng/g_0.01
2007190001,8/09/2008,-12.6551,142.2717,QLD, ,,2007190001001 Fine,<75 µm,TOS,21.96
2007190001,8/09/2008,-12.6551,142.2717,QLD, ,,2007190001002 Fine,<75 µm,BOS,15.89
2007190002,8/09/2008,-13.1195,141.9851,QLD, ,,2007190002002 Fine,<75 µm,BOS,12
2007190003,4/02/2008,-22.7017,114.8976,WA,Duplicate 1,2007190213,2007190003001 Fine,<75 µm,TOS,11.12
2007190003,4/02/2008,-22.7017,114.8976,WA,Duplicate 1,2007190213,2007190003002 Fine,<75 µm,BOS,6.36
2007190004,5/03/2008,-22.7363,116.122,WA, ,,2007190004001 Fine,<75 µm,TOS,21.35
2007190004,5/03/2008,-22.7363,116.122,WA, ,,2007190004002 Fine,<75 µm,BOS,11.33
2007190005,29/08/2007,-27.8225,153.0022,QLD,Duplicate 1,2007191059,2007190005001 Fine,<75 µm,TOS,17.12
2007190005,29/08/2007,-27.8225,153.0022,QLD,Duplicate 1,2007191059,2007190005002 Fine,<75 µm,BOS,15.92
2007190007,5/10/2008,-24.1167,118.3824,WA, ,,2007190007001 Fine,<75 µm,TOS,11.58
2007190007,5/10/2008,-24.1167,118.3824,WA, ,,2007190007002 Fine,<75 µm,BOS,15.03
2007190009,2/04/2008,-29.5469,148.5809,NSW, ,,2007190009001 Fine,<75 µm,TOS,15.31
2007190009,2/04/2008,-29.5469,148.5809,NSW, ,,2007190009002 Fine,<75 µm,BOS,5.9
2007190010,4/10/2008,-17.1653,131.413,NT, ,,2007190010001 Fine,<75 µm,TOS,5.32
2007190010,4/10/2008,-17.1653,131.413,NT, ,,2007190010002 Fine,<75 µm,BOS,6.92
2007190011,31/10/2007,-28.3459,146.8424,QLD, ,,2007190011001 Fine,<75 µm,TOS,14.87
2007190011,31/10/2007,-28.3459,146.8424,QLD, ,,2007190011002 Fine,<75 µm,BOS,13.62
2007190012,31/03/2008,-22.9801,145.2473,QLD, ,,2007190012001 Fine,<75 µm,TOS,11.35
2007190012,31/03/2008,-22.9801,145.2473,QLD, ,,2007190012002 Fine,<75 µm,BOS,7.28
2007190013,5/07/2008,-25.8488,135.2452,NT, ,,2007190013001 Fine,<75 µm,TOS,10.88
2007190013,5/07/2008,-25.8488,135.2452,NT, ,,2007190013002 Fine,<75 µm,BOS,11.36
2007190014,22/10/2007,-35.7518,143.6603,VIC, ,,2007190014001 Fine,<75 µm,TOS,25.92
2007190014,22/10/2007,-35.7518,143.6603,VIC, ,,2007190014002 Fine,<75 µm,BOS,14.71
2007190015,25/10/2007,-23.5343,149.7069,QLD, ,,2007190015001 Fine,<75 µm,TOS,28.82
2007190015,25/10/2007,-23.5343,149.7069,QLD, ,,2007190015002 Fine,<75 µm,BOS,23.89
2007190016,7/03/2007,-30.8569,119.9266,WA, ,,2007190016001 Fine,<75 µm,TOS,3.45
2007190016,7/03/2007,-30.8569,119.9266,WA, ,,2007190016002 Fine,<75 µm,BOS,2.36
2007190017,6/07/2008,-20.7195,120.9245,WA, ,,2007190017001 Fine,<75 µm,TOS,13.51
2007190017,6/07/2008,-20.7195,120.9245,WA, ,,2007190017002 Fine,<75 µm,BOS,7.94
2007190018,12/06/2007,-30.9634,118.7959,WA, ,,2007190018001 Fine,<75 µm,TOS,16.97
2007190018,12/06/2007,-30.9634,118.7959,WA, ,,2007190018002 Fine,<75 µm,BOS,23.07
2007190019,30/11/2007,-34.876,150.4985,NSW, ,,2007190019001 Fine,<75 µm,TOS,33.97
2007190019,30/11/2007,-34.876,150.4985,NSW, ,,2007190019002 Fine,<75 µm,BOS,21.66
2007190021,6/08/2008,-27.641,142.781,QLD, ,,2007190021001 Fine,<75 µm,TOS,14.63
2007190021,6/08/2008,-27.641,142.781,QLD, ,,2007190021002 Fine,<75 µm,BOS,2.82
2007190022,2/05/2008,-29.1282,149.0005,NSW, ,,2007190022001 Fine,<75 µm,TOS,10.63
2007190022,2/05/2008,-29.1282,149.0005,NSW, ,,2007190022002 Fine,<75 µm,BOS,8.14
2007190023,4/03/2008,-22.874,138.7608,QLD, ,,2007190023001 Fine,<75 µm,TOS,7.88
2007190023,4/03/2008,-22.874,138.7608,QLD, ,,2007190023002 Fine,<75 µm,BOS,3.94
2007190024,13/06/2008,-16.8116,122.8996,WA, ,,2007190024001 Fine,<75 µm,TOS,2.52
2007190024,13/06/2008,-16.8116,122.8996,WA, ,,2007190024002 Fine,<75 µm,BOS,5.3
2007190025,19/10/2007,-22.3121,149.4741,QLD, ,,2007190025001 Fine,<75 µm,TOS,11.72
2007190025,19/10/2007,-22.3121,149.4741,QLD, ,,2007190025002 Fine,<75 µm,BOS,8.12
2007190028,22/01/2008,-31.8126,123.8542,WA, ,,2007190028001 Fine,<75 µm,TOS,40.34
2007190028,22/01/2008,-31.8126,123.8542,WA, ,,2007190028002 Fine,<75 µm,BOS,30.47
2007190029,29/01/2008,-31.1569,125.6804,WA, ,,2007190029001 Fine,<75 µm,TOS,24.07
2007190029,29/01/2008,-31.1569,125.6804,WA, ,,2007190029002 Fine,<75 µm,BOS,23.08
2007190031,15/04/2008,-30.1907,147.7138,NSW, ,,2007190031001 Fine,<75 µm,TOS,7.44
2007190031,15/04/2008,-30.1907,147.7138,NSW, ,,2007190031002 Fine,<75 µm,BOS,6.05
2007190032,10/05/2007,-38.0882,144.2791,VIC,Duplicate 1,2007190632,2007190032001 Fine,<75 µm,TOS,183.08
2007190032,10/05/2007,-38.0882,144.2791,VIC,Duplicate 1,2007190632,2007190032002 Fine,<75 µm,BOS,36.03
2007190033,4/02/2009,-24.997,131.4607,NT, ,,2007190033001 Fine,<75 µm,TOS,15.38
2007190033,4/02/2009,-24.997,131.4607,NT, ,,2007190033002 Fine,<75 µm,BOS,4.38
2007190034,5/10/2008,-24.1443,118.4823,WA, ,,2007190034001 Fine,<75 µm,TOS,20.42
2007190035,8/07/2007,-20.402,147.3506,QLD,Duplicate 1,2007190876,2007190035001 Fine,<75 µm,TOS,9.21
2007190035,8/07/2007,-20.402,147.3506,QLD,Duplicate 1,2007190876,2007190035002 Fine,<75 µm,BOS,9.4
2007190036,31/05/2008,-26.3152,143.1686,QLD, ,,2007190036001 Fine,<75 µm,TOS,11.79
2007190036,31/05/2008,-26.3152,143.1686,QLD, ,,2007190036002 Fine,<75 µm,BOS,9.83
2007190038,10/07/2007,-19.8299,135.394,NT, ,,2007190038001 Fine,<75 µm,TOS,16.46
2007190038,10/07/2007,-19.8299,135.394,NT, ,,2007190038002 Fine,<75 µm,BOS,14.2
2007190039,16/11/2007,-27.533,115.2171,WA,Duplicate 1,2007190984,2007190039001 Fine,<75 µm,TOS,11.74
2007190039,16/11/2007,-27.533,115.2171,WA,Duplicate 1,2007190984,2007190039002 Fine,<75 µm,BOS,12.56
2007190041,10/01/2007,-20.6387,142.6312,QLD, ,,2007190041001 Fine,<75 µm,TOS,15.29
2007190041,10/01/2007,-20.6387,142.6312,QLD, ,,2007190041002 Fine,<75 µm,BOS,8.19
2007190042,3/03/2008,-38.0123,143.6445,VIC, ,,2007190042001 Fine,<75 µm,TOS,57.36
2007190042,3/03/2008,-38.0123,143.6445,VIC, ,,2007190042002 Fine,<75 µm,BOS,32.87
2007190043,24/01/2008,-31.6369,124.9322,WA, ,,2007190043001 Fine,<75 µm,TOS,33.49
2007190043,24/01/2008,-31.6369,124.9322,WA, ,,2007190043002 Fine,<75 µm,BOS,45.21
2007190044,4/04/2008,-23.3485,141.51,QLD, ,,2007190044001 Fine,<75 µm,TOS,4.96
2007190044,4/04/2008,-23.3485,141.51,QLD, ,,2007190044002 Fine,<75 µm,BOS,6.32
2007190048,5/09/2008,-21.7283,117.2566,WA, ,,2007190048001 Fine,<75 µm,TOS,31.31
2007190048,5/09/2008,-21.7283,117.2566,WA, ,,2007190048002 Fine,<75 µm,BOS,24.88
2007190050,4/05/2008,-20.5204,118.4963,WA,Duplicate 1,2007191481,2007190050001 Fine,<75 µm,TOS,11.95
2007190050,4/05/2008,-20.5204,118.4963,WA,Duplicate 1,2007191481,2007190050002 Fine,<75 µm,BOS,10.82
2007190051,11/02/2007,-27.0168,149.6649,QLD, ,,2007190051001 Fine,<75 µm,TOS,15.5
2007190051,11/02/2007,-27.0168,149.6649,QLD, ,,2007190051002 Fine,<75 µm,BOS,10.64
2007190052,19/02/2008,-34.0724,119.5498,WA, ,,2007190052001 Fine,<75 µm,TOS,27.34
2007190052,19/02/2008,-34.0724,119.5498,WA, ,,2007190052002 Fine,<75 µm,BOS,9.88
2007190053,9/04/2007,-33.6715,148.5422,NSW, ,,2007190053001 Fine,<75 µm,TOS,22.88
2007190053,9/04/2007,-33.6715,148.5422,NSW, ,,2007190053002 Fine,<75 µm,BOS,22.02
2007190054,7/03/2008,-33.3062,139.7598,SA, ,,2007190054001 Fine,<75 µm,TOS,21.52
2007190054,7/03/2008,-33.3062,139.7598,SA, ,,2007190054002 Fine,<75 µm,BOS,24.03
2007190055,20/09/2007,-14.6521,132.018,NT, ,,2007190055001 Fine,<75 µm,TOS,16.78
2007190055,20/09/2007,-14.6521,132.018,NT, ,,2007190055002 Fine,<75 µm,BOS,8.98
2007190056,24/10/2007,-35.9834,144.9326,VIC, ,,2007190056001 Fine,<75 µm,TOS,37.26
2007190056,24/10/2007,-35.9834,144.9326,VIC, ,,2007190056002 Fine,<75 µm,BOS,24.33
2007190057,11/08/2007,-31.3628,143.5746,NSW, ,,2007190057001 Fine,<75 µm,TOS,7.59
2007190057,11/08/2007,-31.3628,143.5746,NSW, ,,2007190057002 Fine,<75 µm,BOS,5.1
2007190058,17/01/2008,-34.9353,117.4727,WA, ,,2007190058001 Fine,<75 µm,TOS,10.07
2007190058,17/01/2008,-34.9353,117.4727,WA, ,,2007190058002 Fine,<75 µm,BOS,2.21
2007190059,14/07/2008,-30.9478,136.0354,SA, ,,2007190059001 Fine,<75 µm,TOS,22.66
2007190059,14/07/2008,-30.9478,136.0354,SA, ,,2007190059002 Fine,<75 µm,BOS,30.56
2007190062,4/03/2008,-32.0996,144.2191,NSW, ,,2007190062001 Fine,<75 µm,TOS,17.09
2007190062,4/03/2008,-32.0996,144.2191,NSW, ,,2007190062002 Fine,<75 µm,BOS,17.63
2007190063,25/07/2008,-19.7679,129.3222,NT, ,,2007190063001 Fine,<75 µm,TOS,32.99
2007190063,25/07/2008,-19.7679,129.3222,NT, ,,2007190063002 Fine,<75 µm,BOS,28.26
2007190064,4/02/2008,-37.9818,147.4098,VIC, ,,2007190064001 Fine,<75 µm,TOS,18.53
2007190064,4/02/2008,-37.9818,147.4098,VIC, ,,2007190064002 Fine,<75 µm,BOS,9.74
2007190065,18/09/2007,-19.2409,139.96,QLD, ,,2007190065001 Fine,<75 µm,TOS,14.11
2007190065,18/09/2007,-19.2409,139.96,QLD, ,,2007190065002 Fine,<75 µm,BOS,11.12
