MEASURE,Measure,REGIONTYPE,Geography Level,ASGS_2016,Region,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2001,2001,6530349,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2002,2002,6580807,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2003,2003,6620715,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2004,2004,6650735,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2005,2005,6693206,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2006,2006,6742690,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2007,2007,6834156,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2008,2008,6943461,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2009,2009,7053755,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2010,2010,7144292,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2011,2011,7218529,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2012,2012,7304244,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2013,2013,7404032,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2014,2014,7508353,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2015,2015,7616168,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2016,2016,7732858,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2017,2017,7867936,,
ERP,Estimated Resident Population,STE,States and Territories,1,New South Wales,A,Annual,2018,2018,7988241,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2001,2001,4102580,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2002,2002,4135637,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2003,2003,4162593,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2004,2004,4184763,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2005,2005,4217563,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2006,2006,4256161,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2007,2007,4325525,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2008,2008,4409562,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2009,2009,4492380,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2010,2010,4555516,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2011,2011,4608949,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2012,2012,4677196,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2013,2013,4757364,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2014,2014,4841349,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2015,2015,4930189,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2016,2016,5024923,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2017,2017,5136919,,
ERP,Estimated Resident Population,GCCSA,Greater Capital City Statistical Areas,1GSYD,Greater Sydney,A,Annual,2018,2018,5230330,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,102,Central Coast,A,Annual,2001,2001,294596,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,102,Central Coast,A,Annual,2002,2002,297530,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,102,Central Coast,A,Annual,2003,2003,299319,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,102,Central Coast,A,Annual,2004,2004,299999,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,102,Central Coast,A,Annual,2005,2005,301403,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,102,Central Coast,A,Annual,2006,2006,303051,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,102,Central Coast,A,Annual,2007,2007,306499,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,102,Central Coast,A,Annual,2008,2008,312338,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,102,Central Coast,A,Annual,2009,2009,316796,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,102,Central Coast,A,Annual,2010,2010,320361,,
ERP,Estimated Resident Population,SA4,Statistical Area Level 4,102,Central Coast,A,Annual,2011,2011,322657,,
