"Year","Cancer_code","Cancer_name","Sex_code","Sex_name","SA2_code","SA2_name","p025","p10","p50","p90","p975","Prob"
"2010-2014",39,"Prostate",1,"Males",61062,"Perth - Evandale",0.65,0.7,0.8,0.91,0.98,0.971
"2010-2014",39,"Prostate",1,"Males",61063,"Scottsdale - Bridport",0.59,0.64,0.74,0.86,0.93,0.991
"2010-2014",39,"Prostate",1,"Males",61064,"St Helens - Scamander",0.66,0.71,0.81,0.92,0.99,0.966
"2010-2014",39,"Prostate",1,"Males",61065,"Central Highlands",0.69,0.74,0.84,0.95,1.02,0.919
"2010-2014",39,"Prostate",1,"Males",61066,"Derwent Valley",0.7,0.75,0.86,0.97,1.04,0.879
"2010-2014",39,"Prostate",1,"Males",61067,"Southern Midlands",0.74,0.79,0.89,1,1.06,0.813
"2010-2014",39,"Prostate",1,"Males",61069,"Bruny Island - Kettering",0.58,0.64,0.79,0.95,1.05,0.898
"2010-2014",39,"Prostate",1,"Males",61070,"Cygnet",0.63,0.7,0.82,0.97,1.06,0.866
"2010-2014",39,"Prostate",1,"Males",61071,"Geeveston - Dover",0.73,0.82,1,1.23,1.37,0.029
"2010-2014",39,"Prostate",1,"Males",61072,"Huonville - Franklin",0.78,0.84,0.97,1.1,1.18,0.273
"2010-2014",39,"Prostate",1,"Males",61073,"Forestier - Tasman",0.67,0.75,0.95,1.18,1.32,0.236
"2010-2014",39,"Prostate",1,"Males",61074,"Triabunna - Bicheno",0.74,0.79,0.9,1.02,1.09,0.722
"2010-2014",39,"Prostate",1,"Males",61075,"Acton - Upper Burnie",0.6,0.67,0.81,0.97,1.07,0.862
"2010-2014",39,"Prostate",1,"Males",61076,"Burnie - Ulverstone Region",0.61,0.65,0.73,0.82,0.86,0.999
"2010-2014",39,"Prostate",1,"Males",61077,"Burnie - Wivenhoe",0.61,0.67,0.79,0.94,1.02,0.926
"2010-2014",39,"Prostate",1,"Males",61078,"Parklands - Camdale",0.62,0.68,0.78,0.91,0.98,0.967
"2010-2014",39,"Prostate",1,"Males",61079,"Penguin - Sulphur Creek",0.54,0.6,0.72,0.87,0.95,0.976
"2010-2014",39,"Prostate",1,"Males",61080,"Romaine - Havenview",0.65,0.71,0.84,0.99,1.08,0.817
"2010-2014",39,"Prostate",1,"Males",61081,"Somerset",0.59,0.64,0.75,0.88,0.95,0.98
"2010-2014",39,"Prostate",1,"Males",61082,"Ulverstone",0.55,0.6,0.71,0.84,0.91,0.995
