longitude,latitude,year,month,day,date,air_tmax,air_tmax_source,air_tmin,air_tmin_source,elev_m,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,extracted,mslp,mslp_source,radiation,radiation_source,rainfall,rainfall_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,vp,vp_deficit,vp_deficit_source,vp_source
145,-37.8,2020,1,1,2020-01-01,25.6,25,10.9,25,31.6 m,6.1,26,8.1,26,7.1,26,5.7,26,6.9,26,7.6,25,7.3,26,7.6,25,7,26,2024-10-19,1016.6,25,31.8,42,0.1,25,39.6,26,99.8,26,13,13.3,26,25
145,-37.8,2020,1,2,2020-01-02,25.7,25,11.9,25,31.6 m,5.8,26,8.2,26,7,26,5.8,26,7,26,8.4,25,7.2,26,8.4,25,7,26,2024-10-19,1020,25,31.2,42,0.1,25,39.7,26,94.1,26,13.1,13.7,26,25
145,-37.8,2020,1,3,2020-01-03,36.4,25,12.8,25,31.6 m,4.5,26,10.9,26,7.7,26,7.7,26,10.1,26,8,25,7.9,26,8,25,9.4,26,2024-10-19,1016.7,25,31.1,42,0,25,22.9,26,94.1,26,13.9,29.8,26,25
145,-37.8,2020,1,4,2020-01-04,27.7,25,18.2,25,31.6 m,2.7,26,8.8,26,5.8,26,5.7,26,7.3,26,7.4,25,5.9,26,7.4,25,6.4,26,2024-10-19,1008.1,25,23.9,42,0,25,36.4,26,64.6,26,13.5,18.8,26,25
145,-37.8,2020,1,5,2020-01-05,16.4,25,12.6,25,31.6 m,0.8,26,2,26,1.4,26,1.6,26,2,26,2.6,25,1.4,26,2.6,25,1.6,26,2024-10-19,1023.1,25,5.2,42,2.4,25,71.3,26,91.2,26,13.3,4.2,26,25
145,-37.8,2020,1,6,2020-01-06,17.7,25,11.7,25,31.6 m,0.8,26,1.1,26,0.9,26,1.2,26,1.6,26,0.3,25,0.9,26,0.3,25,1.2,26,2024-10-19,1019.3,25,3.2,42,7.6,25,71.1,26,100,26,14.4,4,26,25
145,-37.8,2020,1,7,2020-01-07,20.3,25,12.4,25,31.6 m,0.9,26,0.9,26,0.9,26,1.1,26,1.2,26,2.2,25,0.8,26,2.2,25,1.4,26,2024-10-19,1017.6,25,5.3,42,0.9,25,76.9,26,100,26,18.3,2.8,26,25
145,-37.8,2020,1,8,2020-01-08,25.3,25,16.6,25,31.6 m,5.4,26,7.5,26,6.4,26,5.3,26,6.2,26,7,25,6.6,26,7,25,6,26,2024-10-19,1018.5,25,27.2,42,0,25,51.2,26,87.4,26,16.5,11.8,26,25
145,-37.8,2020,1,9,2020-01-09,32.6,25,17.2,25,31.6 m,5.6,26,9.9,26,7.7,26,6.8,26,8.5,26,10.9,25,7.9,26,10.9,25,7.9,26,2024-10-19,1016,25,30.2,42,0,25,35.6,26,89.2,26,17.5,22,26,25
145,-37.8,2020,1,10,2020-01-10,33.3,25,19.7,25,31.6 m,0.4,26,6.3,26,3.3,26,4.3,26,6.1,26,6.4,25,3.4,26,6.4,25,5,26,2024-10-19,1004.7,25,9.8,42,0,25,34.8,26,77.6,26,17.8,24.4,26,25
145,-37.8,2020,1,11,2020-01-11,19.6,25,12.8,25,31.6 m,1.9,26,5.3,26,3.6,26,3.7,26,4.7,26,4.3,25,3.7,26,4.3,25,4.1,26,2024-10-19,1017.4,25,17.4,42,18.4,25,48.7,26,75.1,26,11.1,9.4,26,25
145,-37.8,2020,1,12,2020-01-12,21,25,13.3,25,31.6 m,3,26,5.9,26,4.5,26,4.1,26,5.1,26,6,25,4.6,26,6,25,4.8,26,2024-10-19,1021,25,20.9,42,0.1,25,49.1,26,79.9,26,12.2,9.9,26,25
145,-37.8,2020,1,13,2020-01-13,32.7,25,11.5,25,31.6 m,4.6,26,8.8,26,6.7,26,6.5,26,8.3,26,6.3,25,6.9,26,6.3,25,7.8,26,2024-10-19,1015.8,25,28.2,42,0,25,29.5,26,100,26,14.6,21.9,26,25
145,-37.8,2020,1,14,2020-01-14,33.9,25,16.5,25,31.6 m,5.2,26,9.1,26,7.2,26,6.5,26,8.1,26,7.6,25,7.3,26,7.6,25,7.7,26,2024-10-19,1016.1,25,27.6,42,0,25,35.9,26,100,26,19,22.3,26,25
145,-37.8,2020,1,15,2020-01-15,37.8,25,19,25,31.6 m,0.7,26,11.2,26,5.9,26,7,26,9.6,26,7.4,25,6,26,7.4,25,8.6,26,2024-10-19,1008.4,25,21.8,42,0,25,21.1,26,62.8,26,13.8,36.8,26,25
145,-37.8,2020,1,16,2020-01-16,20.1,25,15.4,25,31.6 m,3.5,26,4.3,26,3.9,26,3.2,26,3.8,26,5.1,25,4,26,5.1,25,3.7,26,2024-10-19,1011.6,25,17.4,42,20.6,25,67.6,26,90.9,26,15.9,6,26,25
145,-37.8,2020,1,17,2020-01-17,25.3,25,13.6,25,31.6 m,3.8,26,6.7,26,5.2,26,4.8,26,5.9,26,4.4,25,5.4,26,4.4,25,5.6,26,2024-10-19,1012.3,25,23.2,42,0.1,25,43.7,26,90.6,26,14.1,12.9,26,25
145,-37.8,2020,1,18,2020-01-18,29.7,25,13.1,25,31.6 m,4.4,26,7.7,26,6.1,26,5.6,26,7,26,6.1,25,6.2,26,6.1,25,6.7,26,2024-10-19,1010.8,25,25.7,42,0,25,36.9,26,100,26,15.4,17.3,26,25
145,-37.8,2020,1,19,2020-01-19,29.3,25,16.9,25,31.6 m,4.8,26,7.3,26,6,26,5.2,26,6.4,26,5.8,25,6.1,26,5.8,25,6,26,2024-10-19,1006.6,25,24,42,0,25,46.4,26,98.2,26,18.9,15.1,26,25
