Width,Height,Count
1263,671,3
1536,750,3
1817,975,3
1430,965,3
414,809,3
414,773,3
428,730,3
1502,855,3
396,744,3
2046,1233,3
2560,1329,3
1434,1071,3
2056,1118,3
2154,1336,3
412,814,3
935,970,3
1102,1480,3
3440,1338,3
1328,691,3
450,672,3
3106,1312,3
320,281,3
1296,671,3
1711,1000,3
6016,3142,3
800,600,3
377,699,3
414,707,3
349,758,3
1488,902,3
1848,980,3
1462,796,3
1280,607,3
414,738,3
360,669,3
1792,984,3
430,857,3
326,480,3
1352,732,3
1541,801,3
667,325,3
360,628,3
1454,1277,3
486,902,3
1414,914,3
520,279,3
384,721,3
317,577,3
1850,909,3
1419,1091,3
940,793,3
3440,1323,3
412,700,3
414,622,3
1680,918,3
1920,867,3
379,741,3
2233,1153,3
432,799,3
1137,867,3
1885,1021,3
1339,920,3
314,589,3
378,777,3
378,741,3
450,923,3
320,444,3
360,677,3
1366,667,3
1024,694,3
1008,770,3
1133,637,3
396,794,3
360,675,3
412,831,3
639,1268,3
432,794,3
1569,975,3
1680,970,3
360,671,3
2560,1337,3
980,1659,3
1481,893,3
418,480,3
1717,1064,3
393,721,3
378,729,3
486,947,3
1646,918,3
1008,791,3
360,556,3
1055,979,3
844,950,3
458,864,3
1482,810,3
948,937,3
1029,913,3
324,588,3
1720,1300,3
886,681,3
376,697,3
1394,860,3
615,913,3
353,696,3
1846,968,3
1862,968,3
1621,934,3
864,910,3
1742,1057,3
1366,917,3
1136,660,3
408,353,3
565,758,3
1910,1064,3
1436,1132,3
1400,663,3
300,508,3
1680,975,3
1440,824,3
817,326,3
358,669,3
1440,742,3
515,949,3
400,582,3
414,730,3
1800,1040,3
378,667,3
1512,796,3
763,581,3
666,953,3
1244,1057,3
412,812,3
432,848,3
1555,843,3
1024,663,3
980,1662,3
1512,757,3
1412,479,3
414,771,3
375,757,3
1716,854,3
414,768,3
360,630,3
384,709,3
1071,1189,3
2785,1114,3
2560,1326,3
1675,1556,3
592,696,3
1273,1323,3
424,825,3
1040,699,3
1454,834,3
1517,1234,3
1670,1352,3
1696,970,3
1508,779,3
1524,890,3
396,353,3
150,125,3
1362,738,3
795,677,3
1411,1235,3
357,669,3
585,741,3
1780,971,3
3072,1595,3
1180,738,3
2131,1134,3
393,620,3
486,940,3
360,493,3
1160,629,3
414,841,3
800,358,3
491,843,3
1556,1043,3
375,702,3
667,296,3
400,698,3
2048,1014,3
1920,1088,3
360,631,3
1600,890,3
1511,772,3
1440,707,3
384,766,3
424,631,3
360,606,3
2240,1149,3
320,446,3
2016,1160,3
1200,150,3
3005,1155,2
1440,454,1
2560,961,1
3360,1846,1
1452,905,1
2155,2059,1
1283,762,1
2190,1107,1
1600,757,1
414,691,1
1280,628,1
375,492,1
393,704,1
700,993,1
800,361,1
1286,1062,1
2336,1125,1
1457,899,1
1670,915,1
1456,779,1
375,553,1
1278,967,1
1400,783,1
820,1101,1
1470,806,1
375,540,1
1512,779,1
345,746,1
314,614,1
1233,734,1
432,764,1
309,547,1
1612,1048,1
422,815,1
375,620,1
