station,suburb,price,group
Shell Reddy Express Bondi Junction,Bondi Junction,190.9,main
METRO ROZELLE,ROZELLE,180.7,main
OTR Kingsford,KINGSFORD,182.9,main
Ultra Randwick,RANDWICK,179.9,main
BP Edgecliff,EDGECLIFF,190.9,main
BP Edgecliff,EDGECLIFF,199.9,main
Budget Petrol Lewisham,LEWISHAM,182.7,main
METRO ROZELLE,ROZELLE,182.7,main
BP Sydenham,Sydenham,189.9,main
Budget  Erskineville,ERSKINEVILLE,181.9,main
Shell Reddy Express Bondi Junction,Bondi Junction,194.9,main
OTR Kingsford,KINGSFORD,186.9,main
BP Rozelle,Rozelle,185.9,main
BUDGET PETROL MASCOT,Mascot,184.9,main
Budget Petrol Lewisham,LEWISHAM,185.7,main
METRO ROZELLE,ROZELLE,183.7,main
BP Rozelle,Rozelle,186.9,main
Ultra Randwick,RANDWICK,181.9,main
BP Rozelle,Rozelle,189.9,main
Ultra Randwick,RANDWICK,183.9,main
Budget Petrol Lewisham,LEWISHAM,187.7,main
Budget Petrol Chippendale,CHIPPENDALE,189.7,main
Metro Petroleum Rosebery,ROSEBERY,184.5,main
Budget Petrol Chippendale,CHIPPENDALE,192.7,main
METRO ROZELLE,ROZELLE,181.7,main
BP Sydenham,Sydenham,190.9,main
Ultra Randwick,RANDWICK,185.9,main
Metro Petroleum Rosebery,ROSEBERY,189.9,main
BUDGET PETROL MASCOT,Mascot,187.9,main
METRO PETROLEUM (HABERFIELD),HABERFIELD,184.5,main
Budget  Erskineville,ERSKINEVILLE,185.9,main
Shell Reddy Express Bondi Junction,Bondi Junction,195.9,main
OTR Kingsford,KINGSFORD,187.9,main
Ultra Randwick,RANDWICK,189.9,main
BP Edgecliff,EDGECLIFF,206.9,main
BP Sydenham,Sydenham,192.9,main
BUDGET PETROL MASCOT,Mascot,188.9,main
Ultra Randwick,RANDWICK,191.9,main
Budget Petrol Chippendale,CHIPPENDALE,194.7,main
Independent Goulburn,GOULBURN,192.9,extra
Independent Goulburn,GOULBURN,200.9,extra
Thredbo Service Station,THREDBO,287,extra
